"Code","Country","State","Zip/Post Code","Rate","Zip/Post is Range","Range From","Range To","default"
"US-CA-90639","US","CA","90639","9.5000","","","",""
"US-CA-90640","US","CA","90640","10.2500","","","",""
"US-CA-90650","US","CA","90650","10.5000","","","",""
"US-CA-90651","US","CA","90651","10.2500","","","",""
"US-CA-90652","US","CA","90652","10.2500","","","",""
"US-CA-90660","US","CA","90660","10.2500","","","",""
"US-CA-90661","US","CA","90661","10.2500","","","",""
"US-CA-90662","US","CA","90662","10.2500","","","",""
"US-CA-90670","US","CA","90670","10.5000","","","",""
"US-CA-90671","US","CA","90671","10.5000","","","",""
"US-CA-90680","US","CA","90680","8.7500","","","",""
"US-CA-90701","US","CA","90701","9.5000","","","",""
"US-CA-90702","US","CA","90702","9.5000","","","",""
"US-CA-90703","US","CA","90703","10.5000","","","",""
"US-CA-90704","US","CA","90704","10.0000","","","",""
"US-CA-90706","US","CA","90706","9.5000","","","",""
"US-CA-90707","US","CA","90707","9.5000","","","",""
"US-CA-90710","US","CA","90710","9.5000","","","",""
"US-CA-90711","US","CA","90711","10.2500","","","",""
"US-CA-90712","US","CA","90712","10.2500","","","",""
"US-CA-90713","US","CA","90713","10.2500","","","",""
"US-CA-90714","US","CA","90714","10.2500","","","",""
"US-CA-90715","US","CA","90715","10.2500","","","",""
"US-CA-90716","US","CA","90716","10.2500","","","",""
"US-CA-90717","US","CA","90717","9.5000","","","",""
"US-CA-90720","US","CA","90720","8.7500","","","",""
"US-CA-90721","US","CA","90721","7.7500","","","",""
"US-CA-90723","US","CA","90723","10.2500","","","",""
"US-CA-90731","US","CA","90731","10.2500","","","",""
"US-CA-90732","US","CA","90732","9.5000","","","",""
"US-CA-90733","US","CA","90733","9.5000","","","",""
"US-CA-90734","US","CA","90734","9.5000","","","",""
"US-CA-90740","US","CA","90740","10.2500","","","",""
"US-CA-90742","US","CA","90742","7.7500","","","",""
"US-CA-90743","US","CA","90743","8.7500","","","",""
"US-CA-90744","US","CA","90744","9.5000","","","",""
"US-CA-90745","US","CA","90745","9.5000","","","",""
"US-CA-90746","US","CA","90746","9.5000","","","",""
"US-CA-90747","US","CA","90747","9.5000","","","",""
"US-CA-90748","US","CA","90748","9.5000","","","",""
"US-CA-90749","US","CA","90749","9.5000","","","",""
"US-CA-90755","US","CA","90755","10.2500","","","",""
"US-CA-90801","US","CA","90801","10.2500","","","",""
"US-CA-90802","US","CA","90802","10.2500","","","",""
"US-CA-90803","US","CA","90803","10.2500","","","",""
"US-CA-90804","US","CA","90804","10.2500","","","",""
"US-CA-90805","US","CA","90805","10.2500","","","",""
"US-CA-90806","US","CA","90806","10.2500","","","",""
"US-CA-90807","US","CA","90807","10.2500","","","",""
"US-CA-90808","US","CA","90808","10.2500","","","",""
"US-CA-90809","US","CA","90809","9.5000","","","",""
"US-CA-90810","US","CA","90810","10.2500","","","",""
"US-CA-90813","US","CA","90813","10.2500","","","",""
"US-CA-90814","US","CA","90814","10.2500","","","",""
"US-CA-90815","US","CA","90815","10.2500","","","",""
"US-CA-90822","US","CA","90822","10.2500","","","",""
"US-CA-90831","US","CA","90831","10.2500","","","",""
"US-CA-90832","US","CA","90832","10.2500","","","",""
"US-CA-90833","US","CA","90833","10.2500","","","",""
"US-CA-90834","US","CA","90834","10.2500","","","",""
"US-CA-90835","US","CA","90835","10.2500","","","",""
"US-CA-90840","US","CA","90840","10.2500","","","",""
"US-CA-90842","US","CA","90842","10.2500","","","",""
"US-CA-90844","US","CA","90844","10.2500","","","",""
"US-CA-90846","US","CA","90846","10.2500","","","",""
"US-CA-90847","US","CA","90847","10.2500","","","",""
"US-CA-90848","US","CA","90848","10.2500","","","",""
"US-CA-90853","US","CA","90853","10.2500","","","",""
"US-CA-90895","US","CA","90895","9.5000","","","",""
"US-CA-90899","US","CA","90899","10.2500","","","",""
"US-CA-91001","US","CA","91001","10.2500","","","",""
"US-CA-91003","US","CA","91003","9.5000","","","",""
"US-CA-91006","US","CA","91006","10.2500","","","",""
"US-CA-91007","US","CA","91007","10.2500","","","",""
"US-CA-91008","US","CA","91008","10.2500","","","",""
"US-CA-91009","US","CA","91009","10.2500","","","",""
"US-CA-91010","US","CA","91010","10.2500","","","",""
"US-CA-91011","US","CA","91011","10.2500","","","",""
"US-CA-91012","US","CA","91012","9.5000","","","",""
"US-CA-91016","US","CA","91016","10.2500","","","",""
"US-CA-91017","US","CA","91017","10.2500","","","",""
"US-CA-91020","US","CA","91020","10.2500","","","",""
"US-CA-91021","US","CA","91021","9.5000","","","",""
"US-CA-91023","US","CA","91023","9.5000","","","",""
"US-CA-91024","US","CA","91024","10.2500","","","",""
"US-CA-91025","US","CA","91025","10.2500","","","",""
"US-CA-91030","US","CA","91030","10.2500","","","",""
"US-CA-91031","US","CA","91031","10.2500","","","",""
"US-CA-91040","US","CA","91040","9.5000","","","",""
"US-CA-91041","US","CA","91041","9.5000","","","",""
"US-CA-91042","US","CA","91042","9.5000","","","",""
"US-CA-91043","US","CA","91043","9.5000","","","",""
"US-CA-91046","US","CA","91046","10.2500","","","",""
"US-CA-91066","US","CA","91066","10.2500","","","",""
"US-CA-91077","US","CA","91077","10.2500","","","",""
"US-CA-91101","US","CA","91101","10.2500","","","",""
"US-CA-91102","US","CA","91102","10.2500","","","",""
"US-CA-91103","US","CA","91103","10.2500","","","",""
"US-CA-91104","US","CA","91104","10.2500","","","",""
"US-CA-91105","US","CA","91105","10.2500","","","",""
"US-CA-91106","US","CA","91106","10.2500","","","",""
"US-CA-91107","US","CA","91107","10.2500","","","",""
"US-CA-91108","US","CA","91108","10.2500","","","",""
"US-CA-91109","US","CA","91109","10.2500","","","",""
"US-CA-91110","US","CA","91110","10.2500","","","",""
"US-CA-91114","US","CA","91114","10.2500","","","",""
"US-CA-91115","US","CA","91115","10.2500","","","",""
"US-CA-91116","US","CA","91116","10.2500","","","",""
"US-CA-91117","US","CA","91117","10.2500","","","",""
"US-CA-91118","US","CA","91118","9.5000","","","",""
"US-CA-91121","US","CA","91121","10.2500","","","",""
"US-CA-91123","US","CA","91123","10.2500","","","",""
"US-CA-91124","US","CA","91124","10.2500","","","",""
"US-CA-91125","US","CA","91125","10.2500","","","",""
"US-CA-91126","US","CA","91126","10.2500","","","",""
"US-CA-91129","US","CA","91129","10.2500","","","",""
"US-CA-91182","US","CA","91182","10.2500","","","",""
"US-CA-91184","US","CA","91184","10.2500","","","",""
"US-CA-91185","US","CA","91185","10.2500","","","",""
"US-CA-91188","US","CA","91188","10.2500","","","",""
"US-CA-91189","US","CA","91189","10.2500","","","",""
"US-CA-91199","US","CA","91199","10.2500","","","",""
"US-CA-91201","US","CA","91201","10.2500","","","",""
"US-CA-91202","US","CA","91202","10.2500","","","",""
"US-CA-91203","US","CA","91203","10.2500","","","",""
"US-CA-91204","US","CA","91204","10.2500","","","",""
"US-CA-91205","US","CA","91205","10.2500","","","",""
"US-CA-91206","US","CA","91206","10.2500","","","",""
"US-CA-91207","US","CA","91207","10.2500","","","",""
"US-CA-91208","US","CA","91208","10.2500","","","",""
"US-CA-91209","US","CA","91209","10.2500","","","",""
"US-CA-91210","US","CA","91210","10.2500","","","",""
"US-CA-91214","US","CA","91214","10.2500","","","",""
"US-CA-91221","US","CA","91221","10.2500","","","",""
"US-CA-91222","US","CA","91222","10.2500","","","",""
"US-CA-91224","US","CA","91224","10.2500","","","",""
"US-CA-91225","US","CA","91225","10.2500","","","",""
"US-CA-91226","US","CA","91226","10.2500","","","",""
"US-CA-91301","US","CA","91301","9.5000","","","",""
"US-CA-91302","US","CA","91302","9.5000","","","",""
"US-CA-91303","US","CA","91303","9.5000","","","",""
"US-CA-91304","US","CA","91304","9.5000","","","",""
"US-CA-91305","US","CA","91305","9.5000","","","",""
"US-CA-91306","US","CA","91306","9.5000","","","",""
"US-CA-91307","US","CA","91307","9.5000","","","",""
"US-CA-91308","US","CA","91308","9.5000","","","",""
"US-CA-91309","US","CA","91309","9.5000","","","",""
"US-CA-91310","US","CA","91310","9.5000","","","",""
"US-CA-91311","US","CA","91311","9.5000","","","",""
"US-CA-91313","US","CA","91313","9.5000","","","",""
"US-CA-91316","US","CA","91316","9.5000","","","",""
"US-CA-91319","US","CA","91319","7.2500","","","",""
"US-CA-91320","US","CA","91320","7.2500","","","",""
"US-CA-91321","US","CA","91321","9.5000","","","",""
"US-CA-91322","US","CA","91322","9.5000","","","",""
"US-CA-91324","US","CA","91324","9.5000","","","",""
"US-CA-91325","US","CA","91325","9.5000","","","",""
"US-CA-91326","US","CA","91326","9.5000","","","",""
"US-CA-91327","US","CA","91327","9.5000","","","",""
"US-CA-91328","US","CA","91328","9.5000","","","",""
"US-CA-91329","US","CA","91329","9.5000","","","",""
"US-CA-91330","US","CA","91330","9.5000","","","",""
"US-CA-91331","US","CA","91331","9.5000","","","",""
"US-CA-91333","US","CA","91333","9.5000","","","",""
"US-CA-91334","US","CA","91334","9.5000","","","",""
"US-CA-91335","US","CA","91335","9.5000","","","",""
"US-CA-91337","US","CA","91337","9.5000","","","",""
"US-CA-91340","US","CA","91340","10.0000","","","",""
"US-CA-91341","US","CA","91341","10.0000","","","",""
"US-CA-91342","US","CA","91342","10.0000","","","",""
"US-CA-91343","US","CA","91343","9.5000","","","",""
"US-CA-91344","US","CA","91344","9.5000","","","",""
"US-CA-91345","US","CA","91345","9.5000","","","",""
"US-CA-91346","US","CA","91346","9.5000","","","",""
"US-CA-91350","US","CA","91350","9.5000","","","",""
"US-CA-91351","US","CA","91351","9.5000","","","",""
"US-CA-91352","US","CA","91352","9.5000","","","",""
"US-CA-91353","US","CA","91353","9.5000","","","",""
"US-CA-91354","US","CA","91354","9.5000","","","",""
"US-CA-91355","US","CA","91355","9.5000","","","",""
"US-CA-91356","US","CA","91356","9.5000","","","",""
"US-CA-91357","US","CA","91357","9.5000","","","",""
"US-CA-91358","US","CA","91358","7.2500","","","",""
"US-CA-91359","US","CA","91359","7.2500","","","",""
"US-CA-91360","US","CA","91360","7.2500","","","",""
"US-CA-91361","US","CA","91361","9.5000","","","",""
"US-CA-91362","US","CA","91362","9.5000","","","",""
"US-CA-91364","US","CA","91364","9.5000","","","",""
"US-CA-91365","US","CA","91365","9.5000","","","",""
"US-CA-91367","US","CA","91367","9.5000","","","",""
"US-CA-91371","US","CA","91371","9.5000","","","",""
"US-CA-91372","US","CA","91372","9.5000","","","",""
"US-CA-91376","US","CA","91376","9.5000","","","",""
"US-CA-91377","US","CA","91377","7.2500","","","",""
"US-CA-91380","US","CA","91380","9.5000","","","",""
"US-CA-91381","US","CA","91381","9.5000","","","",""
"US-CA-91382","US","CA","91382","9.5000","","","",""
"US-CA-91383","US","CA","91383","9.5000","","","",""
"US-CA-91384","US","CA","91384","9.5000","","","",""
"US-CA-91385","US","CA","91385","9.5000","","","",""
"US-CA-91386","US","CA","91386","9.5000","","","",""
"US-CA-91387","US","CA","91387","9.5000","","","",""
"US-CA-91390","US","CA","91390","9.5000","","","",""
"US-CA-91392","US","CA","91392","9.5000","","","",""
"US-CA-91393","US","CA","91393","9.5000","","","",""
"US-CA-91394","US","CA","91394","9.5000","","","",""
"US-CA-91395","US","CA","91395","9.5000","","","",""
"US-CA-91396","US","CA","91396","9.5000","","","",""
"US-CA-91401","US","CA","91401","9.5000","","","",""
"US-CA-91402","US","CA","91402","9.5000","","","",""
"US-CA-91403","US","CA","91403","9.5000","","","",""
"US-CA-91404","US","CA","91404","9.5000","","","",""
"US-CA-91405","US","CA","91405","9.5000","","","",""
"US-CA-91406","US","CA","91406","9.5000","","","",""
"US-CA-91407","US","CA","91407","9.5000","","","",""
"US-CA-91408","US","CA","91408","9.5000","","","",""
"US-CA-91409","US","CA","91409","9.5000","","","",""
"US-CA-91410","US","CA","91410","9.5000","","","",""
"US-CA-91411","US","CA","91411","9.5000","","","",""
"US-CA-91412","US","CA","91412","9.5000","","","",""
"US-CA-91413","US","CA","91413","9.5000","","","",""
"US-CA-91416","US","CA","91416","9.5000","","","",""
"US-CA-91423","US","CA","91423","9.5000","","","",""
"US-CA-91426","US","CA","91426","9.5000","","","",""
"US-CA-91436","US","CA","91436","9.5000","","","",""
"US-CA-91470","US","CA","91470","9.5000","","","",""
"US-CA-91482","US","CA","91482","9.5000","","","",""
"US-CA-91495","US","CA","91495","9.5000","","","",""
"US-CA-91496","US","CA","91496","9.5000","","","",""
"US-CA-91499","US","CA","91499","9.5000","","","",""
"US-CA-91501","US","CA","91501","10.2500","","","",""
"US-CA-91502","US","CA","91502","10.2500","","","",""
"US-CA-91503","US","CA","91503","10.2500","","","",""
"US-CA-91504","US","CA","91504","10.2500","","","",""
"US-CA-91505","US","CA","91505","10.2500","","","",""
"US-CA-91506","US","CA","91506","10.2500","","","",""
"US-CA-91507","US","CA","91507","10.2500","","","",""
"US-CA-91508","US","CA","91508","10.2500","","","",""
"US-CA-91510","US","CA","91510","10.2500","","","",""
"US-CA-91521","US","CA","91521","10.2500","","","",""
"US-CA-91522","US","CA","91522","10.2500","","","",""
"US-CA-91523","US","CA","91523","10.2500","","","",""
"US-CA-91526","US","CA","91526","10.2500","","","",""
"US-CA-91601","US","CA","91601","9.5000","","","",""
"US-CA-91602","US","CA","91602","9.5000","","","",""
"US-CA-91603","US","CA","91603","9.5000","","","",""
"US-CA-91604","US","CA","91604","9.5000","","","",""
"US-CA-91605","US","CA","91605","10.2500","","","",""
"US-CA-91606","US","CA","91606","9.5000","","","",""
"US-CA-91607","US","CA","91607","9.5000","","","",""
"US-CA-91608","US","CA","91608","9.5000","","","",""
"US-CA-91609","US","CA","91609","9.5000","","","",""
"US-CA-91610","US","CA","91610","9.5000","","","",""
"US-CA-91611","US","CA","91611","9.5000","","","",""
"US-CA-91612","US","CA","91612","9.5000","","","",""
"US-CA-91614","US","CA","91614","9.5000","","","",""
"US-CA-91615","US","CA","91615","9.5000","","","",""
"US-CA-91616","US","CA","91616","9.5000","","","",""
"US-CA-91617","US","CA","91617","9.5000","","","",""
"US-CA-91618","US","CA","91618","9.5000","","","",""
"US-CA-91701","US","CA","91701","7.7500","","","",""
"US-CA-91702","US","CA","91702","10.2500","","","",""
"US-CA-91706","US","CA","91706","10.2500","","","",""
"US-CA-91708","US","CA","91708","7.7500","","","",""
"US-CA-91709","US","CA","91709","7.7500","","","",""
"US-CA-91710","US","CA","91710","8.0000","","","",""
"US-CA-91711","US","CA","91711","10.2500","","","",""
