entity_id,name,store_view,store_name,image,url_path,available_sort_by,breadcrumbs_priority,category_seo_name,category_sort_no,custom_apply_to_products,custom_design,custom_design_from,custom_design_to,custom_layout_update,custom_layout_update_file,custom_use_parent_settings,default_sort_by,description,display_mode,filter_price_range,include_in_menu,in_html_sitemap,in_xml_sitemap,is_active,is_anchor,is_popular,landing_page,meta_description,meta_keywords,meta_robots,meta_title,page_layout,path,path_in_store,position,redirect_priority,thumbnail,url_key,use_in_crosslinking
34,"Default Category/Products/Energy Systems/Power grid analysis",default,,,products/energy-systems/power-grid-analysis,,0,,3,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,1/2/3/13/34,,3,0,,power-grid-analysis,Yes
34,"Default Category/Products/Energy Systems/Power grid analysis",admin,,,products/energy-systems/power-grid-analysis,,0,,3,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,Yes,,,,,,,1/2/3/13/34,,3,0,,power-grid-analysis,Yes
35,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_2_2.jpg,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit1,,0,,,No,"Dcw Cis",,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/9/14/35,,2,0,,plain-air-circuit1,Yes
35,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit1",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_2_2.jpg,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit1,,0,,,No,"Dcw Cis",,,,,No,,,"Static block only",,Yes,Yes,Yes,Yes,Yes,No,"Cis Subcategory",,,,,"1 column",1/2/3/9/14/35,,2,0,,plain-air-circuit1,Yes
36,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit2",default,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit2,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/36,,3,0,,plain-air-circuit2,Yes
36,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit2",admin,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit2,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/36,,3,0,,plain-air-circuit2,Yes
38,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit3",default,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit3,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/38,,5,0,,plain-air-circuit3,Yes
38,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit3",admin,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit3,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/38,,5,0,,plain-air-circuit3,Yes
39,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit4",default,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit4,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/39,,6,0,,plain-air-circuit4,Yes
39,"Default Category/Products/Circuit Breakers/Plain Air Circuit Breaker/Plain Air Circuit4",admin,,,products/circuit-breakers/plain-air-circuit-breaker/plain-air-circuit4,,0,,,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/9/14/39,,6,0,,plain-air-circuit4,Yes
47,"Default Category/Products/Containers / Overloads",default,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_3_1.jpg,products/containers-overloads,,0,,5,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/47,,6,0,,containers-overloads,Yes
47,"Default Category/Products/Containers / Overloads",admin,,https://c14fcb143e.nxcli.net/media/catalog/category/Categories_3_1.jpg,products/containers-overloads,,0,,5,No,,,,,,No,,,"Products only",,Yes,Yes,Yes,Yes,Yes,Yes,"Cis Subcategory",,,,,"1 column",1/2/3/47,,6,0,,containers-overloads,Yes
48,"Default Category/Products/Containers / Overloads/Contractors",default,,,products/containers-overloads/contractors,,,,,No,,,,,,No,,,"Products only",,No,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/47/48,,1,,,contractors,Yes
48,"Default Category/Products/Containers / Overloads/Contractors",admin,,,products/containers-overloads/contractors,,,,,No,,,,,,No,,,"Products only",,No,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/47/48,,1,,,contractors,Yes
49,"Default Category/Products/Containers / Overloads/Overloads",default,,,products/containers-overloads/overloads,,,,,No,,,,,,No,,,"Products only",,No,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/47/49,,2,,,overloads,Yes
49,"Default Category/Products/Containers / Overloads/Overloads",admin,,,products/containers-overloads/overloads,,,,,No,,,,,,No,,,"Products only",,No,Yes,Yes,Yes,Yes,No,,,,,,,1/2/3/47/49,,2,,,overloads,Yes
